CLIP_NAME,GENRE,FAMILIARITY,TRACK_TITLE,ARTIST,MEDIA_RELATION_or_PERFORMER,RELEASE_DATE,VOCALISATION,VOCALISATION_TYPE,CLIP_TIME_START,CLIP_TIME_END,SPOTIFY_PLAYLIST_LINK
60s_HIGH_01,60s,High,As We Go Along,The Monkees,,1968,no,,00:00:00,00:00:30,https://open.spotify.com/playlist/3UNXh2phllvtbOJyPCeu5A?si=420ef53f10914c09
60s_HIGH_02,60s,High,Crimson and Clover,Tommy James and the Shondells,,1968,yes,"""-ah""",00:00:50,00:01:20,
60s_HIGH_03,60s,High,I'm A Man,The Spencer Davis Group,,1967,no,,00:00:00,00:00:30,
60s_HIGH_04,60s,High,It's Only Make Believe,The Hollies,,1964,yes,"""-eh""",00:01:36,00:02:06,
60s_HIGH_05,60s,High,Someone I Know,Margo Guryan,,1968,no,,00:01:10,00:01:40,
60s_HIGH_06,60s,High,Summer in the City,The Lovin' Spoonful,,1966,no,,00:01:59,00:02:29,
60s_HIGH_07,60s,High,Time of the Season,The Zombies,,1968,no,,00:01:21,00:01:51,
60s_LOW_09,60s,Low,Rosemary,Peppermint Rainbow,,1969,no,,00:00:11,00:00:41,https://open.spotify.com/playlist/2LrwGczzX6k7qwGlbMECqr?si=ee0c70bc8a434584
60s_LOW_10,60s,Low,Rumpus,Floyd Cramer,,1960,no,,00:00:00,00:00:30,
60s_LOW_11,60s,Low,The Little Man From Mars,Perrey and Kingsley,,1966,no,,00:00:00,00:00:30,
60s_LOW_12,60s,Low,This Time the Dream's on Me,Anthony Newley,,1963,no,,00:01:48,00:02:18,
60s_LOW_13,60s,Low,"Walk, Don't Run",The Ventures,,1960,no,,00:00:00,00:00:30,
60s_LOW_14,60s,Low,Wheels (Cha Cha),Joe Loss & His Orchestra,,1968,no,,00:00:00,00:00:30,
60s_MED_15,60s,Medium,Amore sto dicendo a te - Toy,The Casuals,,1968,yes,"""ooo""",00:02:03,00:02:33,https://open.spotify.com/playlist/0iGHUoTHve5CiXfaIbsENm?si=2aff5206abf6481c
60s_MED_16,60s,Medium,Blue Eyes Crying In the Rain,John D. Loudermilk,,1968,no,,00:01:19,00:01:49,
60s_MED_17,60s,Medium,Cinnamon Girl,The Gentrys,,1969,no,,00:01:44,00:02:14,
60s_MED_18,60s,Medium,Close Your Eyes,Vic Dana,,1966,no,,00:01:16,00:01:46,
60s_MED_19,60s,Medium,I'm Waiting For The Man,The Velvet Underground,,1967,no,,00:01:55,00:02:25,
60s_MED_20,60s,Medium,Kyllikki,Georg Ots,,1968,no,,00:01:50,00:02:20,
60s_MED_21,60s,Medium,Through with You,The Lemon Pipers,,1968,no,,00:01:14,00:01:44,
80s_HIGH_15,80s,High,Maneater,Hall & Oates,,1982,no,,00:00:00,00:00:30,https://open.spotify.com/playlist/04iJHqInDcjDmNs0qCcwGJ?si=792f240937604499
80s_HIGH_16,80s,High,Sometimes,Erasure,,1987,yes,"""oh""",00:01:51,00:02:21,
80s_HIGH_17,80s,High,Sweet Dreams (Are Made Of This),Eurythmics,,1983,no,,00:02:55,00:03:25,
80s_HIGH_18,80s,High,Take On Me,a-ha,,1985,yes,"""ba""",00:00:00,00:00:30,
80s_HIGH_19,80s,High,Total Eclipse of the Heart,Bonnie Tyler,,1983,no,,00:02:10,00:02:40,
80s_HIGH_20,80s,High,Who Can It Be Now?,Men At Work,,1981,yes,"""yeah""",00:01:59,00:02:29,
80s_HIGH_21,80s,High,"You're My Heart, You're My Soul",Modern Talking,,1985,no,,00:00:00,00:00:30,
80s_LOW_01,80s,Low,Barrados No Baile,Eduardo Dussek,,1983,yes,"""wop bop ba da doo da dah""",00:00:00,00:00:30,https://open.spotify.com/playlist/3fo56ncpVjFWL4D6jkJDfV?si=c7ebf8eb7331429f
80s_LOW_02,80s,Low,Breaking Away,Jaki Graham,,1986,no,,00:00:00,00:00:30,
80s_LOW_03,80s,Low,Changin' Light Of Love,Mixed Emotions,,1987,yes,"""oh""",00:02:17,00:02:47,
80s_LOW_04,80s,Low,Eve lève-toi,Julie Pietri,,1980,yes,"""oh""",00:03:27,00:03:57,
80s_LOW_05,80s,Low,Nosso Louco Amor,Gang 90 & Absurdetes,,1983,no,,00:00:00,00:00:30,
80s_LOW_06,80s,Low,Summer Beach,Yukiko Okada,,1985,yes,"""oh""",00:02:01,00:02:31,
80s_LOW_07,80s,Low,是否,Julie Sue,,1983,no,,00:00:00,00:00:30,
80s_MED_08,80s,Medium,After Tonight,Amazulu,,1986,no,,00:02:21,00:02:51,https://open.spotify.com/playlist/4W5ABpXWLxBif3Y81llrAU?si=791423f038f04235
80s_MED_09,80s,Medium,Honey Be Good,The Bible,,1988,no,,00:00:00,00:00:30,
80s_MED_10,80s,Medium,In Your Room,Idle Eyes,,1984,no,,00:01:29,00:01:59,
80s_MED_11,80s,Medium,Um Amor de Verão,Rádio Taxi,,1984,no,,00:00:00,00:00:30,
80s_MED_12,80s,Medium,Une autre histoire,Gérard Blanc,,1988,no,,00:01:41,00:02:11,
80s_MED_13,80s,Medium,Your Love Drives Me Crazy,Force MD's,,1985,yes,"""dah"", ""ooo""",00:00:00,00:00:30,
80s_MED_14,80s,Medium,"""P"" Da Vida (Toda La Vida)",Dominó,,1985,yes,"""woah"", ""ooo"", ""yeah""",00:03:17,00:03:47,
Ambient_HIGH_08,Ambient,High,A Walk,Tycho,,2011,no,,00:00:03,00:00:33,https://open.spotify.com/playlist/5c6LOkFfr7t49hCzFBmGCW?si=8f858c3d9ddb48a5
Ambient_HIGH_09,Ambient,High,Candles,Jon Hopkins,,2010,no,,00:00:00,00:00:30,
Ambient_HIGH_10,Ambient,High,Don't Bother They're Here,Stars Of The Lid,,2007,no,,00:00:00,00:00:30,
Ambient_HIGH_11,Ambient,High,Free,Miracle Tones,,2022,no,,00:00:00,00:00:30,
Ambient_HIGH_12,Ambient,High,Interloper,Carbon Based Lifeforms,,2010,no,,00:00:00,00:00:30,
Ambient_HIGH_13,Ambient,High,Sweden,C418,Minecraft,2011,no,,00:00:00,00:00:30,
Ambient_HIGH_14,Ambient,High,snowfall,"Øneheart, reidenshi",,2022,no,,00:00:00,00:00:30,
Ambient_LOW_15,Ambient,Low,Dulcamara,Duet for Theremin and Lap Steel,,2016,no,,00:00:00,00:00:30,https://open.spotify.com/playlist/2dzjuFdj7zjwz8XvzifwqU?si=9192a47bc9914edb
Ambient_LOW_16,Ambient,Low,Everlasting Dreams - Calm's Still Dreaming Mix,"KENKOU, Calm",,2020,no,,00:00:00,00:00:30,
Ambient_LOW_17,Ambient,Low,Fantasy & Reason,Palantir,,2000,no,,00:00:00,00:00:30,
Ambient_LOW_18,Ambient,Low,Memories of Grass,Perila,,2021,no,,00:00:00,00:00:30,
Ambient_LOW_19,Ambient,Low,One and Two,"Pablo Bolviar, Sensual Physics",,2022,no,,00:00:00,00:00:30,
Ambient_LOW_20,Ambient,Low,Rain And Sea,Abstract Audio Systems,,2005,no,,00:00:00,00:00:30,
Ambient_LOW_21,Ambient,Low,Value Kit,Halosar,,2022,no,,00:00:00,00:00:30,
Ambient_MED_01,Ambient,Medium,2010 Toyota Corolla,2003 Toyota Corolla,,2021,no,,00:00:00,00:00:30,https://open.spotify.com/playlist/46SGVh1UmqEURyLmLiKojI?si=04288af4b1904eb9
Ambient_MED_02,Ambient,Medium,Diamond Cove ( And Its Children Were Watching),Kyle Bobby Dunn,,2012,no,,00:00:00,00:00:30,
Ambient_MED_03,Ambient,Medium,Holding On,Tracey Chattaway,,2015,no,,00:00:00,00:00:30,
Ambient_MED_04,Ambient,Medium,Life's Casino,Sounds From The Ground,,2019,no,,00:00:00,00:00:30,
Ambient_MED_05,Ambient,Medium,Study Music (Concentrate),Alpha Brain Waves,,2018,no,,00:00:00,00:00:30,
Ambient_MED_06,Ambient,Medium,Tachyon,Tripswitch,,2005,no,,00:00:47,00:01:17,
Ambient_MED_07,Ambient,Medium,The Stargazer's Jouney,John Serrie,,2003,no,,00:00:00,00:00:30,
Classical_HIGH_01,Classical,High,"Cello Suite No. 1 in G Major, BWV 1007: I. Prélude",Johann Sebastian Bach,Yo-Yo Ma,1720,no,,00:00:00,00:00:30,https://open.spotify.com/playlist/008QtQEu6kF3yve3jhiAVQ?si=cdfa6ca157df466a
Classical_HIGH_02,Classical,High,Gymnopédie No. 1,Erik Satie,Philippe Entremont,1888,no,,00:00:00,00:00:30,
Classical_HIGH_03,Classical,High,"Nocturne No. 2 in E-Flat Major, Op. 9 No. 2",Frédéric Chopin,"Daniel Barenboim, Frédéric Chopin",1830,no,,00:00:00,00:00:30,
Classical_HIGH_04,Classical,High,"Piano Concerto No. 21 in C Major, K. 467: II. Andante",Wolfgang Amadeus Mozart,"Howard Shelley, London Mozart Players",1785,no,,00:00:00,00:00:30,
Classical_HIGH_05,Classical,High,Spring (La Primavera) Op.8 No.1 E Major: Allegro,Antonio Vivaldi,"Alberto Lizzio, Baroque Festival Orchestra, I Musici Di San Marco",1725,no,,00:00:00,00:00:30,
Classical_HIGH_06,Classical,High,"Tchaikovsky: Swan Lake, Op. 20, Act 2: No. 10, Scene. Moderato",Pyotr Ilyich Tchaikovsky,"André Previn, London Symphony Orchestra",1875,no,,00:00:00,00:00:30,
Classical_HIGH_07,Classical,High,"Wiegenlied, Op. 49, No. 4 (Arr. for Cello and Piano) [Brahms Lullaby]",Johannes Brahms,Yo-Yo Ma,1868,no,,00:00:00,00:00:30,
Classical_LOW_08,Classical,Low,"Concerto in C Major, Op. 6 No. 10: I. Preludio. Andante largo",Arcangelo Corelli,"Musica Amphion, Pieter-Jan Belder",1714,no,,00:00:00,00:00:30,https://open.spotify.com/playlist/6Cv9geTLhOF7w5OQshfbdl?si=a4579549d91e4c46
Classical_LOW_09,Classical,Low,"Duet No. 2 for 2 Flutes in E-Flat Major, Fk. 55: I. Allegro",Wilhelm Friedemann Bach,"Massimo Mercelli, Maxence Larrieu",1770,no,,00:00:00,00:00:30,
Classical_LOW_10,Classical,Low,L'Arbre des songes - Concerto for Violin & Orchestra: 1. Librement. II. Vif. III. Lent. IV Largo et animé,Henri Dutilleux,"Charles Dutoit, Orchestre National De France, Pierre Amoyal",1985,no,,00:00:00,00:00:30,
Classical_LOW_11,Classical,Low,"Piano Trio No. 2 in E Minor, Op. 67: III. Largo",Dmitri Scostakovich,"Daniel Haefliger, Gilles Vonsattel, Ilya Gringolts",1943,no,,00:00:00,00:00:30,
Classical_LOW_12,Classical,Low,"Sonata No. 2 for Violin, Piano and Drums",George Antheil,"John Novacek, Mark Fewer",1923,no,,00:00:00,00:00:30,
Classical_LOW_13,Classical,Low,"Trois Pièces Brèves, No. 2: Andante",Jacques Ibert,Bergen Wind Quintet,1930,no,,00:00:00,00:00:30,
Classical_LOW_14,Classical,Low,"Violin Sonata No. 5 in F Minor, BWV 1018: I. Largo",Johann Sebastian Bach,"Andrea Marcon, Giuliano Carmignola",1720,no,,00:00:00,00:00:30,https://open.spotify.com/playlist/2hpaQeU4sZrsWFx764XoJf?si=ac44725360964cbd
Classical_MED_15,Classical,Medium,"2 Aquarelles: Lento, ma non troppo",Frederick Delius,"David Lloyd-Jones, Royal Northern Sinfonia",1917,no,,00:00:00,00:00:30,
Classical_MED_16,Classical,Medium,Elf kurze Stücke: No. 4 in A Minor,Anton Webner,Jean-Jacques Dünki,1905,no,,00:00:00,00:00:30,
Classical_MED_17,Classical,Medium,Il barbiere di Siviglia: Overture (Sinfonia),Gioachino Rossini,"Academy of St. Martin in the Fields, Gioachino Rossini, Sir Neville Marriner",1816,no,,00:00:00,00:00:30,
Classical_MED_18,Classical,Medium,Notturno for Strings and Harp,Arnold Schönberg,"Daniel Hope, Jane Berthe, Zürcher Kammerorchester",1895,no,,00:00:00,00:00:30,
Classical_MED_19,Classical,Medium,The Garden's Light,Trevor Kowalski,Trevor Kowalski,2018,no,,00:00:00,00:00:30,
Classical_MED_20,Classical,Medium,"Violin Sonata in A major, FWV 8: IV. Allegretto poco mosso",César Franck,"Jeremy Denk, Joshua Bell",1886,no,,00:00:00,00:00:30,
Classical_MED_21,Classical,Medium,Whitacre: The Seal Lullaby,Eric Whitacre,"Eric Whitacre, Eric Whitacre Singers",2008,yes,"""ah"", ""ooo""",00:00:00,00:00:30,
Country_HIGH_15,Country,High,(Wanna Get To Know You) That Good!),Shania Twain,,2002,yes,"""ooo"", ""mm"", ""yeah""",00:00:00,00:00:30,https://open.spotify.com/playlist/0A4AQy0frsA5gdg1siOyzr?si=5428829c74c14be4
Country_HIGH_16,Country,High,Cold as You,Luke Combs,,2020,no,,00:02:26,00:02:56,
Country_HIGH_17,Country,High,Feathered Indians,Tyler Childers,,2017,no,,00:03:14,00:03:44,
Country_HIGH_18,Country,High,I'm So Lonesome I Could Cry,Johnny Cash,,2002,no,,00:01:40,00:02:10,
Country_HIGH_19,Country,High,Something in the Orange,Zach Bryan,,2022,no,,00:00:02,00:00:32,
Country_HIGH_20,Country,High,The House of the Rising Sun,Dolly Parton,,1973,yes,"""ooo""",00:03:15,00:03:45,
Country_HIGH_21,Country,High,august,Taylor Swift,,2020,yes,"""ooo"", ""yeah""",00:03:27,00:03:57,
Country_LOW_01,Country,Low,Bighorn Samba,Earth Bombs Mars,,2008,no,,00:00:00,00:00:30,https://open.spotify.com/playlist/1vCNu03JbS2glWrS9LpZXq?si=346a96415255494d
Country_LOW_02,Country,Low,Hunting Moon,Dan Cugnet,,2024,no,,00:03:57,00:04:27,
Country_LOW_03,Country,Low,Lately,Devin & The Straights,,2008,no,,00:02:25,00:02:55,
Country_LOW_04,Country,Low,Ocean Side,The Founders,,1997,no,,00:03:25,00:03:55,
Country_LOW_05,Country,Low,This Heart of Mine,Crandall Creek,,2020,no,,00:01:34,00:02:04,
Country_LOW_06,Country,Low,Waiting for You to Call,Mickey Keller and the Spitfires,,2010,no,,00:00:45,00:01:15,
Country_LOW_07,Country,Low,Wrong Side Hill,Slim River Boys,,2018,no,,00:01:37,00:02:07,
Country_MED_08,Country,Medium,Brenda Put Your Bra On,Ashley McBryde,,2022,no,,00:00:00,00:00:30,https://open.spotify.com/playlist/0uDkfLqRr83NQ99malq728?si=ed9dad70d56e4fe9
Country_MED_09,Country,Medium,Drowning,Radio Company,,2019,yes,"""ooo""",00:00:08,00:00:38,
Country_MED_10,Country,Medium,If Your Conscience Can't Stop You (How Can I),Jan Howard,,1960,no,,00:01:06,00:01:36,
Country_MED_11,Country,Medium,Island Boy,Phil Vassar,,2000,yes,"""ooo"", ""yeah""",00:03:17,00:03:47,
Country_MED_12,Country,Medium,Love Me,The Little Willies,,2006,no,,00:01:50,00:02:20,
Country_MED_13,Country,Medium,Sunny Day,Deana Carter,,2005,no,,00:04:00,00:04:30,
Country_MED_14,Country,Medium,The Captain,Kasey Chambers,,1999,no,,00:03:50,00:04:20,
Dance_HIGH_08,Dance,High,Cry for You,September,,2007,no,,00:00:00,00:00:30,https://open.spotify.com/playlist/2CDCKRJNLZzJVzxFqsuSZR?si=5a7d64930c4d485d
Dance_HIGH_09,Dance,High,Drinkee,Sofi Tukker,,2016,yes,"""dah"", ""doo""",00:03:23,00:03:53,
Dance_HIGH_10,Dance,High,Everytime We Touch,Cascada,,2010,no,,00:00:56,00:01:26,
Dance_HIGH_11,Dance,High,Get Back (ASAP),Alexandra Stan,,2011,yes,"""yeah""",00:00:00,00:00:30,
Dance_HIGH_12,Dance,High,L’Amour Toujours,Gigi D’Agostino,,2001,no,,00:00:00,00:00:30,
Dance_HIGH_13,Dance,High,Renegade,Axwell /\ Ingrosso,,2017,no,,00:02:32,00:03:02,
Dance_HIGH_14,Dance,High,Sissy That Walk,RuPaul,,2014,no,,00:01:54,00:02:24,
Dance_LOW_15,Dance,Low,Dark Side Of The Moon - Original Extended,Ernesto vs. Bastian,,2005,no,,00:04:23,00:04:53,
Dance_LOW_16,Dance,Low,Helpless - Monster Mix,"Mÿon, Shane 54, Aruna",,2006,no,,00:00:00,00:00:30,https://open.spotify.com/playlist/23O6HKnm6hsjGQImyJKK7l?si=0579db73ee6b492c
Dance_LOW_17,Dance,Low,I Love You - Cosmic Gate Remix,"Steven Moebius Albert, Ralph Kyau",,2012,no,,00:01:11,00:01:41,
Dance_LOW_18,Dance,Low,Make Me Want You - Dance Remix,Thomas Donovan,,1998,no,,00:00:00,00:00:30,
Dance_LOW_19,Dance,Low,Rock Music - (Don Disblo Remix),2 Faced,,2006,no,,00:04:30,00:05:00,
Dance_LOW_20,Dance,Low,Self Esteem (Klubbrockerz Mix),Stars ’n’ Stripes,,2006,no,,00:00:41,00:01:11,
Dance_LOW_21,Dance,Low,These R The Times,Da Sunlounge & Inland Knights,,2010,no,,00:00:00,00:00:30,
Dance_MED_01,Dance,Medium,California Dreamin' - Tek-House Extended,Royal Gigolos,,2017,no,,00:00:00,00:00:30,https://open.spotify.com/playlist/5JX4p0dGFoKNuvg4QSwCfC?si=82a5c0b37c3b4802
Dance_MED_02,Dance,Medium,Dear Jessie,Rollergirl,,1999,no,,00:00:00,00:00:30,
Dance_MED_03,Dance,Medium,Do You Know (I Go Crazy),Angel City,,2004,no,,00:00:00,00:00:30,
Dance_MED_04,Dance,Medium,La Niña del Volcán (Polocorp Remix),YoSoyMatt,,2019,no,,00:03:00,00:03:30,
Dance_MED_05,Dance,Medium,REACT (feat. Ella Henderson) - Don Diablo Remix,Switch Disco,,2023,no,,00:00:00,00:00:30,
Dance_MED_06,Dance,Medium,Summer Days - Radio Edit,Sean Finn,,2016,yes,"""-ah""",00:00:31,00:01:01,
Dance_MED_07,Dance,Medium,Ты засадишь,EA7,,2017,no,,00:03:08,00:03:38,
Electronic_HIGH_01,Electronic,High,Crimewaves,"Crystal Castles, HEALTH",,2008,no,,00:02:50,00:03:20,https://open.spotify.com/playlist/5TiXNmkHGSl5VZME3Zn3vs?si=061ea59cf9184d78
Electronic_HIGH_02,Electronic,High,Electric Feel,MGMT,,2007,no,,00:00:00,00:00:30,
Electronic_HIGH_03,Electronic,High,Genesis,Grimes,,2012,no,,00:00:00,00:00:30,
Electronic_HIGH_04,Electronic,High,One More Time,Daft Punk,,2001,no,,00:01:34,00:02:04,
Electronic_HIGH_05,Electronic,High,Outside,"Calvin Harris, Ellie Goulding",,2014,yes,"""dah""",00:03:10,00:03:40,
Electronic_HIGH_06,Electronic,High,The Other Side Of Paradise,Glass Animals,,2016,yes,"""oogh"", ""ha""",00:00:00,00:00:30,
Electronic_HIGH_07,Electronic,High,Venus As A Boy,Björk,,1993,no,,00:03:54,00:04:24,
Electronic_LOW_08,Electronic,Low,El Orden del Universo,D3ndron,,2009,no,,00:00:00,00:00:30,https://open.spotify.com/playlist/00syGQ9r8Gc4io6cI8xkxb?si=adc76a2a84b247e8
Electronic_LOW_09,Electronic,Low,Expansion,SUPREEMO,,2021,no,,00:00:00,00:00:30,
Electronic_LOW_10,Electronic,Low,Inflicted_1,coldrose,,2020,no,,00:00:17,00:00:47,
Electronic_LOW_11,Electronic,Low,Memoria,Spring In A Small Town,,2020,yes,"""ha"", ""yah"", (bird noise)",00:02:00,00:02:30,
Electronic_LOW_12,Electronic,Low,Reckless Heart,Continues,,2012,no,,00:00:00,00:00:30,
Electronic_LOW_13,Electronic,Low,Simplicity,Macroform,,2015,no,,00:00:00,00:00:30,
Electronic_LOW_14,Electronic,Low,Tape,Skip Cloud,,2013,no,,00:00:38,00:01:08,
Electronic_MED_15,Electronic,Medium,A Paw In My Face,The Field,,2007,no,,00:00:00,00:00:30,https://open.spotify.com/playlist/4qsQmZ8WwxIUPkrEDXfU28?si=938ffe863269457d
Electronic_MED_16,Electronic,Medium,Bodies of Water,Cosmo Sheldrake,,2023,no,,00:00:14,00:00:44,
Electronic_MED_17,Electronic,Medium,Dumb Love,NEIL FRANCES,,2017,yes,"""ah"", ""oh""",00:02:43,00:03:13,
Electronic_MED_18,Electronic,Medium,Ghost Duet,Louie Zong,,2017,yes,"""ooo"", whistle",00:00:00,00:00:30,
Electronic_MED_19,Electronic,Medium,Looped,Kiasmos,,2014,no,,00:00:00,00:00:30,
Electronic_MED_20,Electronic,Medium,The Distance,Totally Enormous Extinct Dinosaurs,,2023,no,,00:04:21,00:04:51,
Electronic_MED_21,Electronic,Medium,Things Will Never Be There,JJ,,2009,no,,00:00:00,00:00:30,
Film_HIGH_15,Film,High,Journey To The Real World,Tame Impala,Barbie,2023,no,,00:00:00,00:00:30,https://open.spotify.com/playlist/4myAkVBb9KS18ydXqDXqu6?si=db34283de8ae4f5e
Film_HIGH_16,Film,High,"Main Theme (From ""The Dark Knight Rises"")",Hans Zimmer,The Dark Knight Rises,2005-2012,no,,00:00:00,00:00:30,
Film_HIGH_17,Film,High,Star Wars (Main Theme),John Williams,Star Wars,1977-2023,no,,00:00:00,00:00:30,
Film_HIGH_18,Film,High,The Avengers,Alan Silvestri,Avengers,2008-2023,no,,00:00:00,00:00:30,
Film_HIGH_19,Film,High,The Glory Days,Michael Giacchino,The Incredibles,2004-2018,no,,00:00:00,00:00:30,
Film_HIGH_20,Film,High,Theme From Jurassic Park,John Williams,Jurassic Park,1993-2022,no,,00:01:09,00:01:39,
Film_HIGH_21,Film,High,Top Gun Anthem,Harold Faltermeyer,Top Gun Maverick,2022,no,,00:00:00,00:00:30,
Film_LOW_01,Film,Low,Hammer of the Gods: Opening Title,Benjamin Wallfisch,Hammer of the Gods,2013,no,,00:00:00,00:00:30,https://open.spotify.com/playlist/5Sap2Fo8ltqrpU8tMwLtCD?si=cf874b959e224491
Film_LOW_02,Film,Low,Main Titles,Marius Ruhland,Death of a Superhero,2012,no,,00:00:00,00:00:30,
Film_LOW_03,Film,Low,Samajavaragamana,Sid Sriram,Ala Vaikunthapurramuloo,2020,no,,00:01:27,00:01:57,
Film_LOW_04,Film,Low,The Streets of Miami,Christopher Hajian,Critical Thinking,2020,no,,00:00:00,00:00:30,
Film_LOW_05,Film,Low,Troy's Theme,We Are Dark Angels,Dog Eat Dog,2017,no,,00:00:00,00:00:30,
Film_LOW_06,Film,Low,Until Now,Jerome Dillon,Officer Down,2013,no,,00:00:00,00:00:30,
Film_LOW_07,Film,Low,Where Is My Dad,André Manoukian,Fonzy,2013,no,,00:00:00,00:00:30,
Film_MED_08,Film,Medium,Bob Wakes Up,David Newman,The Spy Next Door,2010,no,,00:00:00,00:00:30,https://open.spotify.com/playlist/6jPgsiuL0UdlXj44wioStm?si=e0ad0a92c5534fd1
Film_MED_09,Film,Medium,Carolina,David Buckley,From Paris with Love,2010,no,,00:00:00,00:00:30,
Film_MED_10,Film,Medium,Hoffa Trailer,David Newman,Hoffa,1992,no,,00:00:00,00:00:30,
Film_MED_11,Film,Medium,The Strangers Prey At Night,Adrian Johnston,The Strangers Prey At Night,2018,no,,00:00:00,00:00:30,
Film_MED_12,Film,Medium,The world is amazed - Main Title Theme,Rolfe Kent,Downsizing,2017,no,,00:00:00,00:00:30,
