CLIP_NAME,GENRE,FAMILIARITY,TRACK_TITLE,ARTIST,MEDIA_RELATION_or_PERFORMER,RELEASE_DATE,VOCALISATION,VOCALISATION_TYPE,CLIP_TIME_START,CLIP_TIME_END,SPOTIFY_PLAYLIST_LINK
Film_MED_13,Film,Medium,Tinker Tailor Soldier Spy,Alberto Iglesias,Tinker Tailor Soldier Spy,2011,no,,00:00:00,00:00:30,
Film_MED_14,Film,Medium,Welcome To The Army,Hans Zimmer,Renaissance Man,1994,no,,00:00:00,00:00:30,
Folk_HIGH_08,Folk,High,"Flightless Bird, American mouth",Iron & Wine,,2007,yes,"""ooo""",00:02:35,00:03:05,https://open.spotify.com/playlist/3niyv2eEp34cg8eQlrcz6r?si=66219695c3ef4a20
Folk_HIGH_09,Folk,High,Little Lion Man,Mumford & Sons,,2009,yes,"""ah""",00:02:20,00:02:50,
Folk_HIGH_10,Folk,High,Mr. Tambourine Man,Bob Dylan,,1965,no,,00:03:24,00:03:54,
Folk_HIGH_11,Folk,High,Mrs. Robinson,Simon & Garfunkel,Forrest Gump,2001,yes,"""dee"", ""doo""",00:00:00,00:00:30,
Folk_HIGH_12,Folk,High,Nantes,Beirut,,2007,no,,00:01:12,00:01:42,
Folk_HIGH_13,Folk,High,Road,Nick Drake,,1972,no,,00:00:00,00:00:30,
Folk_HIGH_14,Folk,High,Skinny Love,Bon Iver,,2008,no,,00:00:00,00:00:30,
Folk_LOW_15,Folk,Low,Jänese Õhkamine,Lepaseree,,2015,yes,"""hii!""",00:03:43,00:04:13,https://open.spotify.com/playlist/3iYxzEheYsOqGVU6aGcqOh?si=475d793e42994171
Folk_LOW_16,Folk,Low,Kız Senin,İsmail Altunsaray,,2011,no,,00:00:00,00:00:30,
Folk_LOW_17,Folk,Low,Lord Won’t Come,Nero Kane,,2020,no,,00:04:36,00:05:06,
Folk_LOW_18,Folk,Low,The Art of the Quickdraw,The Minor Canon,,2007,no,,00:00:00,00:00:30,
Folk_LOW_19,Folk,Low,The Big City,Mark Minelli,,2009,yes,"""woo"", ""ooo""",00:00:55,00:01:25,
Folk_LOW_20,Folk,Low,The Desmond Slides,Colm Murphy,,1996,no,,00:00:00,00:00:30,
Folk_LOW_21,Folk,Low,Winnetou-Melodie (Deep House Version),Story Of Dakota,,2016,no,,00:00:00,00:00:30,
Folk_MED_01,Folk,Medium,Ai de Mim,OUTROEU,,2017,yes,"""ooo"", ""hey""",00:02:53,00:03:23,https://open.spotify.com/playlist/4qzvU1eJO4mhR4oq1DBBIr?si=947ca63cb332412d
Folk_MED_02,Folk,Medium,Ben Her Zaman Sana Aşıktım,Kalben,,2017,yes,"""la""",00:02:20,00:02:50,
Folk_MED_03,Folk,Medium,Big Log,Robert Plant,,1983,no,,00:00:00,00:00:30,
Folk_MED_04,Folk,Medium,Dangerous,Joshua James,,2008,no,,00:00:00,00:00:30,
Folk_MED_05,Folk,Medium,Lopin’ Along thru the Cosmos - Remastered,Judee Sill,,1971,no,,00:01:31,00:02:01,
Folk_MED_06,Folk,Medium,Reunite,Isbells,,2009,no,,00:01:57,00:02:27,
Folk_MED_07,Folk,Medium,Seeds Of Night,The Cave Singers,,2008,no,,00:00:00,00:00:30,
Funk_HIGH_01,Funk,High,"""1999""",Prince,,1982,no,,00:00:12,00:00:42,https://open.spotify.com/playlist/69Zvw3K9dEvVrG5q99VqX6?si=f4c5ec18520246c4
Funk_HIGH_02,Funk,High,Dean Town,Vulfpeck,,2016,no,,00:00:00,00:00:30,
Funk_HIGH_03,Funk,High,Little L,Jamiroquai,,2001,no,,00:00:00,00:00:30,
Funk_HIGH_04,Funk,High,September,"Earth, Wind & Fire",,1978,yes,"""baa dee ya"", ""hey""",00:03:03,00:03:33,
Funk_HIGH_05,Funk,High,Simley Faces,Gnarls Barkely,,2006,yes,"""hey""",00:02:24,00:02:54,
Funk_HIGH_06,Funk,High,The Boss,James Brown,,1973,no,,00:02:33,00:03:03,
Funk_HIGH_07,Funk,High,Them Changes,Thundercat,,2017,yes,"""ooo"", ""la""",00:02:25,00:02:55,
Funk_LOW_08,Funk,Low,Better Days,Tony Aiken and Future 2000,,2008,yes,"""-ow"", ""ooo""",00:04:14,00:04:44,https://open.spotify.com/playlist/66S09vieoXK21DoCzVlCAL?si=e3e1d7b440014d1b
Funk_LOW_09,Funk,Low,Feelin Good,The Mooncakes Project,,2012,no,,00:00:17,00:00:47,
Funk_LOW_10,Funk,Low,Funky Rules,Fun Key,,2003,no,,00:00:00,00:00:30,
Funk_LOW_11,Funk,Low,Get Twisted,Raw Deluxe,,2009,no,,00:03:12,00:03:42,
Funk_LOW_12,Funk,Low,Make Some Noise,Phat Sidy Smokehouse,,1999,yes,"""huh"", ""ah""",00:02:44,00:03:14,
Funk_LOW_13,Funk,Low,She's Gotta Be ,The Neutronics,,2017,no,,00:00:05,00:00:35,
Funk_LOW_14,Funk,Low,Walking Trombone,The Essential FUNK Trombone,,2021,yes,"""yeah"", ""woah""",00:00:32,00:01:02,
Funk_MED_15,Funk,Medium,Charisma,Tom Browne,,1981,no,,00:00:00,00:00:30,https://open.spotify.com/playlist/4qzvU1eJO4mhR4oq1DBBIr?si=947ca63cb332412d
Funk_MED_16,Funk,Medium,Darkest Light,Lafayette Afro Rock Band,,1974,no,,00:00:00,00:00:30,
Funk_MED_17,Funk,Medium,Hair,Graham Central Station,,1973,no,,00:04:17,00:04:47,
Funk_MED_18,Funk,Medium,Iambic 5 Poetry,Shobaleader One,,2017,no,,00:00:06,00:00:36,
Funk_MED_19,Funk,Medium,Mighty & High,Can't Stop Won't Stop,,2015,yes,"""ha"", ""ah""",00:03:08,00:03:38,
Funk_MED_20,Funk,Medium,Running,Baby Huey,,1971,no,,00:00:00,00:00:30,
Funk_MED_21,Funk,Medium,The brazilian hipster,Fort Knowx Five,,2004,no,,00:00:26,00:00:56,
Hiphop_HIGH_15,Hip-hop,High,ARE WE STILL FRIENDS?,"Tyler, The Creator",,2019,yes,"""ooo""",00:01:49,00:02:19,https://open.spotify.com/playlist/0jPPM6e1qKpkdhPDaMZUBc?si=de3e1a6911174552
Hiphop_HIGH_16,Hip-hop,High,Circles,Post Malone,,2019,yes,"""uh""",00:00:00,00:00:30,
Hiphop_HIGH_17,Hip-hop,High,Dang! (feat. Anderson .Paak),Mac Miller,,2016,yes,"""woo""",00:04:28,00:04:58,
Hiphop_HIGH_18,Hip-hop,High,God's Plan,Drake,,2018,yes,"""yuh""",00:02:39,00:03:09,
Hiphop_HIGH_19,Hip-hop,High,Pursuit of Happiness (Nightmare),Kid Cudi,,2009,no,,00:02:55,00:03:25,
Hiphop_HIGH_20,Hip-hop,High,Runaway,Kanye West,,2010,yes,"""mm""",00:05:25,00:05:55,
Hiphop_HIGH_21,Hip-hop,High,STARGAZING,Travis Scott,,2018,no,(background scream),00:02:28,00:02:58,
Hiphop_LOW_01,Hip-hop,Low,6 00 AM,Canto I,,2008,yes,"""ah"", ""uh huh""",00:00:02,00:00:32,https://open.spotify.com/playlist/2JQVM8Rf8bfurUMgttki6C?si=1a60ce898dce40aa
Hiphop_LOW_02,Hip-hop,Low,Galab,Haykal,,2023,no,,00:02:28,00:02:58,
Hiphop_LOW_03,Hip-hop,Low,Mun Sydän Sykkii,Hannes H,,2010,yes,"""ah, ""ooo"", ""mm""",00:02:38,00:03:08,
Hiphop_LOW_04,Hip-hop,Low,Rabbit Hole,Wheelchair Sports Camp,,2021,yes,"""ooo""",00:00:04,00:00:34,
Hiphop_LOW_05,Hip-hop,Low,Sad Trumpet,Lee Reed,,2018,no,,00:01:49,00:02:19,
Hiphop_LOW_06,Hip-hop,Low,Theme Song,DJ Blackskin,,2009,yes,"""aay"", ""wha""",00:03:15,00:03:45,
Hiphop_LOW_07,Hip-hop,Low,Zürich,Laurin Buser,,2023,no,,00:02:23,00:02:53,
Hiphop_MED_08,Hip-hop,Medium,3030,Deltron 3030,,2000,yes,"""ooo"", ""ah""",00:00:34,00:01:04,https://open.spotify.com/playlist/0pVQz9EgqgJah7QYEz99b7?si=59ef3f06204944d9
Hiphop_MED_09,Hip-hop,Medium,La vida loca,White 2115,,2018,yes,"""yeah"", ""uh""",00:01:56,00:02:26,
Hiphop_MED_10,Hip-hop,Medium,La vie qu'onmène,Ninho,,2019,no,,00:02:27,00:02:57,
Hiphop_MED_11,Hip-hop,Medium,Live and Let Live,Souls Of Mischief,,1993,no,,00:04:38,00:05:08,
Hiphop_MED_12,Hip-hop,Medium,NICE OUT,Kilo Kish,,2019,yes,"""uh"", ""ee"", ""yeah""",00:03:31,00:04:01,
Hiphop_MED_13,Hip-hop,Medium,NOT THAT I'M ANYWHERE,Cities Aviv,,2012,yes,"""-eh"", ""oh""",00:01:22,00:01:52,
Hiphop_MED_14,Hip-hop,Medium,Voldemort,Freeze Corleone,,2023,yes,"""eh""",00:03:16,00:03:46,
Jazz_HIGH_08,Jazz,High,Autumn Leaves,Nat King Cole,,1955,yes,"""oh""",00:01:16,00:01:46,https://open.spotify.com/playlist/68Bws1TCZzXB2GN240zjIL?si=85cf478988964cfa
Jazz_HIGH_09,Jazz,High,Feeling Good,Michael Bublé,,2005,no,,00:02:12,00:02:42,
Jazz_HIGH_10,Jazz,High,Fly Me To The Moon,Frank Sinatra,,1962,no,,00:01:12,00:01:42,
Jazz_HIGH_11,Jazz,High,My Baby Just Cares for Me,Nina Simone,,1959,no,,00:01:10,00:01:40,
Jazz_HIGH_12,Jazz,High,So What,Miles Davis,,1959,no,,00:00:34,00:01:04,
Jazz_HIGH_13,Jazz,High,Summertime,"Ella Fitzgerald, Louis Armstrong",,1958,no,,00:00:00,00:00:30,
Jazz_HIGH_14,Jazz,High,The Girl From Ipanema,Stan Getz,,1964,no,,00:02:34,00:03:04,
Jazz_LOW_15,Jazz,Low,Ainda Mais Amor,Nicola Conte,,2016,yes,"""ooo""",00:01:01,00:01:31,https://open.spotify.com/playlist/10v6f00cTnwzrAEHo573Pd?si=d0785e2c64074af3
Jazz_LOW_16,Jazz,Low,Girl Talk,Dave Siebels,,2008,no,,00:00:00,00:00:30,
Jazz_LOW_17,Jazz,Low,London in July,Corky Hale,,2012,no,,00:00:00,00:00:30,
Jazz_LOW_18,Jazz,Low,Medusa,Grupo Medusa,,2023,no,,00:00:00,00:00:30,
Jazz_LOW_19,Jazz,Low,Sembellogy,Sembello,,2003,no,,00:00:00,00:00:30,
Jazz_LOW_20,Jazz,Low,Tempest,Steve Coleman and the Council of Balance,,2015,no,,00:00:00,00:00:30,
Jazz_LOW_21,Jazz,Low,"Thinking of You, Mjq",Cal Tjader Quarter,,1957,no,,00:01:23,00:01:53,
Jazz_MED_01,Jazz,Medium,Crepuscholo Sul Mare,Piero Umiliani,,1967,no,,00:00:00,00:00:30,https://open.spotify.com/playlist/5RVtBv6GA0NpYgJblJVClc?si=da4e976ecf8c4e5f
Jazz_MED_02,Jazz,Medium,I Guess I'll Hang My Tears Out To Dry - Rudy Van Gelder,Dexter Gordon,,1944,no,,00:00:00,00:00:30,
Jazz_MED_03,Jazz,Medium,Keep On,Alfa Mist,,2017,no,,00:00:23,00:00:53,
Jazz_MED_04,Jazz,Medium,Moanin',Art Blakely& The Jazz Messengers,,1958,no,,00:00:00,00:00:30,
Jazz_MED_05,Jazz,Medium,Skating,Vince Guaraldi,A Charlie Brown Christmas,1965,no,,00:00:00,00:00:30,
Jazz_MED_06,Jazz,Medium,Take Five,Paul Desmond,,1959,no,,00:00:00,00:00:30,
Jazz_MED_07,Jazz,Medium,Turiya & Ramakrishna,Alice Coltrane,,1970,no,,00:00:00,00:00:30,
Metal_HIGH_01,Metal,High,Baptized In The Redemption,Roadrunner United,,2005,no,,00:02:07,00:02:37,https://open.spotify.com/playlist/7vkSrbQeimYCc6OgxBmDM5?si=855a5548668b42b7
Metal_HIGH_02,Metal,High,Can I Play with Madness,Iron Maiden,,1988,yes,"""duh""",00:02:28,00:02:58,
Metal_HIGH_03,Metal,High,Chop Suey!,System of a Down,,2001,no,,00:00:15,00:00:45,
Metal_HIGH_04,Metal,High,Down With the Sickness,Disturbed,,2000,yes,"""oh wa ah ah ah"", ""ogh ogh""",00:00:23,00:00:53,
Metal_HIGH_05,Metal,High,Enter Sandman,Metallica,,1991,no,,00:00:34,00:01:04,
Metal_HIGH_06,Metal,High,Killing in the Name,Rage Against the Machine,,1992,no,,00:00:00,00:00:30,
Metal_HIGH_07,Metal,High,What I've Done,Linkin Park,,2007,no,,00:00:00,00:00:30,
Metal_LOW_08,Metal,Low,Cruciality,Anosmic,,2023,no,,00:00:00,00:00:30,https://open.spotify.com/playlist/4xq9oRxZxGf7HQcGi2IdO1?si=b94ba75e5ce74a05
Metal_LOW_09,Metal,Low,Darkside,Sacred Sin,,2019,yes,"""oowoaa"" (death growl)",00:00:00,00:00:30,
Metal_LOW_10,Metal,Low,Endzeit,Aphotic,,2023,no,,00:00:05,00:00:35,
Metal_LOW_11,Metal,Low,Kälte,Stories Of A Dark Soul,,2019,no,,00:00:15,00:00:45,
Metal_LOW_12,Metal,Low,Telarum Digitum,We Came From The Lengthy Split,,2016,yes,"""uhooa"" (death growl)",00:00:00,00:00:30,
Metal_LOW_13,Metal,Low,Under the Knife,Earthstomper,,2020,no,,00:00:43,00:01:13,
Metal_LOW_14,Metal,Low,Viaje Por Existir,Hellangels,,2014,no,,00:01:31,00:02:01,
Metal_MED_15,Metal,Medium,Check My Brain,Alice In Chains,,2009,no,,00:00:00,00:00:30,https://open.spotify.com/playlist/3mhD1JtKTQV3gOTZFlAMaD?si=38b5b815436340cb
Metal_MED_16,Metal,Medium,Clown,Korn,,1994,no,,00:00:45,00:01:15,
Metal_MED_17,Metal,Medium,OptiMystic,Alyag,,2018,no,,00:01:07,00:01:37,
Metal_MED_18,Metal,Medium,School Revolution,Voice of Baceprot,,2003,no,,00:00:00,00:00:30,
Metal_MED_19,Metal,Medium,Thunderhorse,Dethklok (Metalocalypse),,2001,no,,00:01:59,00:02:29,
Metal_MED_20,Metal,Medium,Welcome to the Family,Avenged Sevenfold,,2010,no,,00:02:13,00:02:43,
Metal_MED_21,Metal,Medium,Wish,Nine Inch Nails,,1992,yes,"""ttuh"", ""huh""",00:01:44,00:02:14,
Pop_HIGH_15,Pop,High,Break the Rules ,Charlie XCX,,2014,yes,"""nah""",00:02:47,00:03:17,https://open.spotify.com/playlist/6WeJwh8DV1QwDJjWk3xPB9?si=00046045a5604bef
Pop_HIGH_16,Pop,High,Hard Feelings/Loveless,Lorde ,,2017,yes,"""huh""",00:02:24,00:02:54,
Pop_HIGH_17,Pop,High,Love Again,Dua Lipa,,2021,no,,00:00:00,00:00:30,
Pop_HIGH_18,Pop,High,Slow Dancing,V,,2023,yes,"""heh""",00:01:50,00:02:20,
Pop_HIGH_19,Pop,High,The Edge Of Glory,Lady Gaga,,2011,no,,00:03:18,00:03:48,
Pop_HIGH_20,Pop,High,We Found Love ,Rihanna,,2011,no,,00:00:53,00:01:23,
Pop_HIGH_21,Pop,High,ocean eyes,Billie Eilish,,2017,yes,"""ah"", ""dah"", ""duh"", ""ooo"", ""yeah""",00:02:11,00:02:41,
Pop_LOW_01,Pop,Low,A Casa Sou Eu - Ao Vivo,Gabriell Junior,,2018,no,,00:00:07,00:00:37,https://open.spotify.com/playlist/2oJx50sXhACbdDcHio82Qd?si=2a06a6d22abf4e60
Pop_LOW_02,Pop,Low,Aire 2007 - Extended,Pedro Marin,,2007,no,,00:00:00,00:00:30,
Pop_LOW_03,Pop,Low,I'll Survive - Raoul Playground Mix,Ronny Morris,,2016,yes,"""ay""",00:00:50,00:01:20,
Pop_LOW_04,Pop,Low,Kadeh,Bence,,2021,no,,00:00:00,00:00:30,
Pop_LOW_05,Pop,Low,Panasonic,Motions,,2017,no,,00:00:02,00:00:32,
Pop_LOW_06,Pop,Low,Tu esi,Olga Rajecka,,2002,yes,"""huh"", ""duh"", ""uh""",00:00:00,00:00:30,
Pop_LOW_07,Pop,Low,ghost ,Boys and Ivy,,2023,no,,00:03:25,00:03:55,
Pop_MED_08,Pop,Medium,A Arte Do Coração,Sandy e Junior,,1999,yes,"""nah""",00:00:00,00:00:30,https://open.spotify.com/playlist/1Ft4kHCf3ozmubtdox3T9K?si=92f2f12a25dc4288
Pop_MED_09,Pop,Medium,I Turn To You ,Melanie C ,,1999,no,,00:04:07,00:04:37,
Pop_MED_10,Pop,Medium,Jeanny,Falco,,1985,no,,00:00:08,00:00:38,
Pop_MED_11,Pop,Medium,Physical - Remastered 2021,Olivia Newton-John ,,1981,yes,"""ah, ""yah""",00:02:18,00:02:48,
Pop_MED_12,Pop,Medium,Thank You,Lennon Stella ,,2022,yes,"""mm""",00:01:40,00:02:10,
Pop_MED_13,Pop,Medium,You Belong To Me,Ari Abdul ,,2023,yes,"""mm""",00:01:51,00:02:21,
Pop_MED_14,Pop,Medium,weekends,Hojean,,2021,no,,00:03:00,00:03:30,
RnB_HIGH_08,R&B,High,DEAD MAN WALKING,Brent Faiyaz,,2022,no,,00:02:52,00:03:22,https://open.spotify.com/playlist/0cTnOz2xmJAvLr4SVjwovk?si=013a1be255ed45a7
RnB_HIGH_09,R&B,High,Good Days,SZA,,2022,no,,00:03:03,00:03:33,
RnB_HIGH_10,R&B,High,In Your Eyes,The Weeknd,,2020,yes,"""ooo"", ""ah"", ""hey""",00:03:16,00:03:46,
RnB_HIGH_11,R&B,High,Location,Khalid,,2017,no,,00:03:12,00:03:42,
RnB_HIGH_12,R&B,High,Nights,Frank Ocean,,2016,no,,00:03:10,00:03:40,
RnB_HIGH_13,R&B,High,The Color Violet,Tory Lanez,,2021,yes,"""ooo""",00:03:02,00:03:32,
RnB_HIGH_14,R&B,High,Waterfalls,TLC,,1994,no,,00:00:02,00:00:32,
RnB_LOW_15,R&B,Low,Bout Us,Ursa Major,,2024,yes,"""ooo""",00:02:26,00:02:56,https://open.spotify.com/playlist/5ND5teCcPs2HQRTEnak1pJ?si=87133ad359ec424e
RnB_LOW_16,R&B,Low,Don't Take It Easy,Shoyori,,2019,yes,"""yeah""",00:04:40,00:05:10,
RnB_LOW_17,R&B,Low,Little Black Boy,Rob Clove,,2016,yes,"""mm""",00:02:28,00:02:58,
RnB_LOW_18,R&B,Low,Perfect to Me,Phreddy J.B.,,2018,yes,"""yeah""",00:00:00,00:00:30,
RnB_LOW_19,R&B,Low,Resolutions,Sutton,,2023,no,,00:00:21,00:00:51,
RnB_LOW_20,R&B,Low,Strong Man,Ebony Vibe Everlasting,,1994,yes,"""mm"", ""uh""",00:00:02,00:00:32,
RnB_LOW_21,R&B,Low,north star,dreambody,,2021,yes,"""ah""",00:00:30,00:01:00,
RnB_MED_01,R&B,Medium,4EVA,KAYTRAMINÉ,,2023,no,,00:02:36,00:03:06,https://open.spotify.com/playlist/5e9uXMGAULXdZx58or55Fg?si=8b33a0ebdf354e63
RnB_MED_02,R&B,Medium,Confessions,Sudan Archives,,2019,no,,00:00:06,00:00:36,
RnB_MED_03,R&B,Medium,Devotion,Emotional Oranges,,2022,yes,"""ooo"", ""ah"", ""nah""",00:02:14,00:02:44,
RnB_MED_04,R&B,Medium,Hard,Dreamer Isioma,,2020,yes,"""ah"", ""ooo"", ""yeah""",00:01:12,00:01:42,
RnB_MED_05,R&B,Medium,Rain,SWV,,1997,no,,00:00:06,00:00:36,
RnB_MED_06,R&B,Medium,Slowly,ODIE,,2020,no,,00:02:33,00:03:03,
RnB_MED_07,R&B,Medium,Take Me Where Your Heart Is,Q,,2021,no,,00:00:00,00:00:30,
Rock_HIGH_01,Rock,High,Californication,Red Hot Chilli Peppers,,1999,no,,00:03:30,00:04:00,https://open.spotify.com/playlist/10m2JnfovuShqthhEn0q3j?si=019f2ff5503c4ab7
Rock_HIGH_02,Rock,High,Everlong,Foo Fighters,,1997,no,,00:00:00,00:00:30,
Rock_HIGH_03,Rock,High,Summertime,My Chemical Romance,,2010,no,,00:00:00,00:00:30,
Rock_HIGH_04,Rock,High,This is Why,Paramore,,2023,no,,00:00:00,00:00:30,
Rock_HIGH_05,Rock,High,Undone - The Sweater Song,Weezer,,1994,yes,"""ooo woo""",00:03:21,00:03:51,
Rock_HIGH_06,Rock,High,With Or Without You,U2,,1987,no,,00:04:03,00:04:33,
Rock_HIGH_07,Rock,High,Yellow,Coldplay,,2000,yes,"""ooo""",00:00:00,00:00:30,
Rock_LOW_08,Rock,Low,A Place For Ever,Se Noghte Band,,2016,yes,"""oh"", ""ooo""",00:03:31,00:04:01,https://open.spotify.com/playlist/4Yc2XTHLfMIKKKWsC4wmlq?si=d5d8c3f7de9044a5
Rock_LOW_09,Rock,Low,Fado,Danta,,2017,no,,00:00:00,00:00:30,
Rock_LOW_10,Rock,Low,Final Warning,Guiding Lights,,2020,no,,00:00:00,00:00:30,
Rock_LOW_11,Rock,Low,Haiiro No Hako,musiquo musiqua,,2012,no,,00:02:06,00:02:36,
Rock_LOW_12,Rock,Low,MIND TRAIN,Yoko Ono & Plastic Ono Super Band,,2022,yes,"""duh""",00:00:27,00:00:57,
Rock_LOW_13,Rock,Low,Sous la lune,Les Marinellis,,2015,no,,00:02:38,00:03:08,
Rock_LOW_14,Rock,Low,Where Only We Exist,Deaf Scene,,2010,no,,00:00:00,00:00:30,
Rock_MED_15,Rock,Medium,Dursun Zaman,maNga,,2004,yes,"""ooo"", ""dah""",00:00:00,00:00:30,https://open.spotify.com/playlist/5HYADa2kV5njfB96doG22v?si=0ecef5db8cd44131
Rock_MED_16,Rock,Medium,Heavy Leather,The Technicolors,,2015,yes,"""-ee"", ""la""",00:01:52,00:02:22,
Rock_MED_17,Rock,Medium,Nadzieja,IRA,,1991,yes,"""ooo""",00:01:54,00:02:24,
Rock_MED_18,Rock,Medium,Not an Addict,K's Choice,,2009,yes,"""yeah""",00:04:13,00:04:43,
Rock_MED_19,Rock,Medium,Open Up Your Eyes,Tonic,,1996,no,,00:00:00,00:00:30,
Rock_MED_20,Rock,Medium,Soulfight,The Revivalist,,2008,no,,00:00:00,00:00:30,
Rock_MED_21,Rock,Medium,Voglia di morire,Panda,,2004,yes,"""-ee""",00:03:53,00:04:23,
VG_HIGH_15,Video game,High,A Thief's End,Henry Jackman,Uncharted 4: A Theif's End,2016,no,,00:00:00,00:00:30,https://open.spotify.com/playlist/5EJ8pv497PPimGQJR0l2aO?si=281240e3bebf45ff
VG_HIGH_16,Video game,High,Geralt Of Rivia,Marcin Przybyłowicz,The Witcher 3: Wild Hunt,2015,no,,00:00:00,00:00:30,
VG_HIGH_17,Video game,High,Kara Main Theme - Kara,Philip Sheppard,Detriot: Become Human,2018,no,,00:00:00,00:00:30,
VG_HIGH_18,Video game,High,Mountain Banjo,Rhiannon Giddens,Red Dead Remption II,2018,no,,00:00:00,00:00:30,
VG_HIGH_19,Video game,High,Secunda,Jeremy Soule,The Elder Scrolls V: Skyrim,2011,no,,00:00:00,00:00:30,
VG_HIGH_20,Video game,High,The Last of Us,Gustavo Santaolalla,The Last of Us,2013,no,,00:00:00,00:00:30,
VG_HIGH_21,Video game,High,Welcome To Los Santos,Oh No,Grand Theft Auto V,2013,no,,00:00:00,00:00:30,
VG_LOW_01,Video game,Low,Hivebusters,Dale North,Gears 5: Hivebusters,2022,no,,00:00:00,00:00:30,https://open.spotify.com/playlist/2tMUmJicqGXEdV3LH7hJlG?si=24663d2e80b14e69
VG_LOW_02,Video game,Low,Hush Hush Theme,fingerspit,Hush Hush ,2023,no,,00:00:00,00:00:30,
VG_LOW_03,Video game,Low,II -The Arbiter,Milk & Bone,The Cosmic Wheel Sisterhood,2023,no,,00:00:00,00:00:30,
VG_LOW_04,Video game,Low,Suicide Mission,Jack Wall,Mass Effect 2,2010,no,,00:00:00,00:00:30,
VG_LOW_05,Video game,Low,They Were Coming Forward from Egypt,Lukas Deuschel,Total War: Pharaoh,2023,no,,00:00:00,00:00:30,
VG_LOW_06,Video game,Low,petri,Ed Watkins,Invincible: Atom Eve,2023,no,,00:00:00,00:00:30,
VG_LOW_07,Video game,Low,地霊達の起床,上海アリス幻樂団,東方地霊殿 〜 Subterranean Animism. サウンドトラック,2008,no,,00:00:00,00:00:30,
VG_MED_08,Video game,Medium,Crysis 2 Intro,Hans Zimmer,Crysis 2,2011,no,,00:00:00,00:00:30,https://open.spotify.com/playlist/0PUxVRXWxM7D3dqyhobfeA?si=d967b648ba974432
VG_MED_09,Video game,Medium,Heat on Beat 2012/the Mercenaries,Michael Salvatori,Resident Evil 6,2014,no,,00:00:00,00:00:30,
VG_MED_10,Video game,Medium,Moxxi Wants Your Blood,Moisés Nieto,Borderlands,2006,no,,00:00:00,00:00:30,
VG_MED_11,Video game,Medium,Terran One,Ian Livingston,StarCraft,2022,no,,00:00:00,00:00:30,
VG_MED_12,Video game,Medium,The Quarry Main Theme,Harry Gregson-Williams,The Quarry,2003,no,,00:00:00,00:00:30,
VG_MED_13,Video game,Medium,The Traveler,Mick Gordon,Destiny,2017,no,,00:00:00,00:00:30,
VG_MED_14,Video game,Medium,Title,3000m,Super Mario World,1990,no,,00:00:00,00:00:30,
,,,,,,,"# clips ""yes"":",90,,,